Channel,Code
Abreu,abreu
Abritel,abritel
Adonis.com,adonis
Agoda,agodaycs5
Airbnb - iCal,airbnb
Airbnb,airbnb-api
Antur,antur
Arkas,arkas
Asiatravel.com,asiatravel
Atel-Hotels,atelhotels
Atlas Voyages,atlasvoyages
Ayder Turizm,ayderturizm
Babylon Holiday,babylon
Bedandbreakfast.eu,bedandbreakfast
Bedsconnect,bedsconnect
BedsXML,Bedsxml
Booked.net,booked
BookingAgora,bookingagora
Booking.com,bookingcom
Butikotels.com,butikotelscom
Caria Holidays,cariaholidays
CitiesReference,citiesreference
Trip.com (Ctrip.com),ctrip
Despegar.com,despegar
Dnata,dnata
Destinations of the World (DOTW),dotw
Wingie Enuygun Group,enuyguncom
Etstur,etstur
Expedia,expedia
Extranetwork,extranetwork
Fastpayhotels,fastpayhotels
Fidorento,fidorento
Finbat,finbat
FlipKey,flipkey
Gezinomi,gezinomi
Goibibo & MakeMyTrip,goibibo
GoldenBay V2,goldenbayv2
Direct Plus - Google,google
Direct Plus - Google,google_v2
Direct Plus - Google Vacation Rental,google_vr
Global Travel Services (GTS),gts
HotelRunner Ads Network,hads
HalalBooking.com,halalbooking
Halal Holiday Check,halalholidaycheck
Hegoba,hegoba
HIS Travel Turkey,histravel
HolidayLettings,holidaylettings
HomeAway,homeaway
Homelidays,homelidays
Hoojoozat,hoojoozatxml
HostelsClub.com,hostelsclubxml
HostelWorld,hostelworldxml
Hotelbeds,hotelbeds
HotelREZ GDS,hotelrez
Revato by HotelsCombined,hotelscombined
HotelTonight,hoteltonight
Hotperia,hotperia
HouseTrip,housetrip
HPro Travel,hprotravel
HRS,hrs
HyperGuest,hyperguest
iCal,ical
Icastelli.net,icastelli
Inhores V2,inhores
Inhore,inhoresv1
Instant World Booking,instantworldbooking
JacTravel (JacobOnline),jactravel
Jet2Holidays,jet2holidays
Jolly Tours,jollytour
Jumia Travel,jumia
Karavansaray,karavansaray
Keytel Global,keytelglobal
KTI Voyages,ktivoyages
Lastminute.com,lastminute
Mercan Tourism,mercantourism
Microsoft,microsoft
Miki Travel,mikitravel
Mr and Mrs Smith,mrandmrssmith
Namila Tour,namilatour
Neredekal,neredekal
Obilet,obilet
OCT Turizm,octturizm
ODIGEO Connect,odigeo
Online,online
Ostrovok.ru / Emerging Travel Group,ostrovok
Oteldenal.com,oteldenal
Oteldenal V2,oteldenalV2
Otelegidelim.com,otelegidelim
Otel Fırsatı,otelfirsati
OtelFiyat.com,otelfiyat
Otelz.com V2,otelzv2
Coral Travel,oti
Owners Direct,ownersdirect
Peak Point,peakpoint
Pegipegi,pegipegi
Pitchup.com,pitchup
Plaza Turizm,plazaturizm
Premier World Choice,premierworldchoice
Prestigia,prestigia
Price Travel,pricetravel
Prime Travel V3,primeV3
Roibos,roibos
Roomiroom.com,roomiroom
Setur,seturapi
Shallwego,shallwego
SimpleBooking,simplebooking
Skyscanner,skyscanner
SoHolidays,SoHolidays
Splendia,splendia
STglobe,stglobe
SunHotels,sunhotels
Tablet Hotels,tablethotels
Tatilbudur.com,tatilbudur
Tatil Dorukta,tatildorukta
Tatilsepeti.com,tatilsepeti
Tatilzon.com,tatilzon
TBO.com V2,tboV2
Travel Destination Online (TDOnlines),tdonlines
Turkish Airlines Holidays,thyholidays
Tiket V2,tiketv2
Tobook,tobook
Top Rural,toprural
Touricoholidays.com,tourico
Touristica,touristica
Travco,travco
Traveloka,traveloka
Traveloka V2,travelov2
TripAdvisor,tripadvisor
Trip.com V2,tripcom
Tripholi,tripholi
Direct Plus - Trivago,trivago
VRBO,vrbo
WayToStay,waytostay
Wimdu,wimdu
World2Meet (W2M),world2meet
Wotif,wotif
9Flats,9flats
